sampleID;CLEC3A;CPB1;SCGB2A2;SCGB1D2;TFF1;MUCL1;GSTM1;PIP;ADIPOQ;ADH1B;HMGCS2;S100A7;CYP2B7P1;TAT;ANKRD30A;PRAME;CYP4Z1;SERPINA6;AGR3;UGT2B11;MUC6;KCNJ3;TFAP2B;MYBPC1;DHRS2;C4orf7;SLC30A8;KRT14;SOX10;STAC2;GABRP;CEACAM5;KRT5;COL2A1;TUSC5;GP2;VSTM2A;CALML5;GSTT1;FABP7;LEP;C1orf64;TFF3;PIGR;CRABP1;CST1;MUC5B;SYT13;GRIA2;KRT6B;PAM50_Label
TCGA-A1-A0SB-01;1.7015;6.6126;8.3479;7.7986;2.5742;4.8089;0.0;5.5251;7.3262;7.7299;5.9288;0.0;1.8887;1.8887;1.4865;9.5151;3.3234;0.0;1.2336;4.5282;1.2336;0.5366;5.5531;6.7757;4.5561;3.5061;8.6813;13.2805;12.6818;11.0361;14.0597;1.8887;15.2294;6.8952;4.688;0.0;0.0;12.3375;8.8457;11.4806;4.6626;0.0;4.5835;7.314;7.6863;0.5366;7.0795;4.8089;5.3289;8.0176;Normal
TCGA-A1-A0SD-01;5.6235;18.6283;10.0963;7.6039;12.5581;13.7045;1.5777;11.881;10.644;10.1888;10.6423;3.8312;10.4321;7.7879;8.218;1.5777;10.5302;1.4082;12.6258;4.9591;5.6428;2.9291;9.5753;3.1058;6.2746;2.4935;8.3743;12.047;7.7103;6.9665;9.2714;11.1912;12.6303;9.4056;7.7351;9.797;5.7107;6.3873;9.4189;9.6318;6.1047;7.9433;12.1231;6.3873;5.0192;10.9621;9.9811;12.459;6.0696;10.0003;LumA
TCGA-A1-A0SE-01;4.0415;6.2547;10.8725;9.9367;13.1286;10.6232;12.6025;7.3682;3.2059;6.7096;7.2327;0.0;6.3334;6.2671;10.5463;0.4104;5.5668;2.6474;10.7483;2.2079;4.7722;5.6161;11.0377;7.1582;9.0987;3.1535;5.3856;11.7612;9.9607;10.1795;10.7905;3.7554;12.5613;4.5871;1.861;9.2452;4.8959;6.8438;9.4036;4.5672;0.0;9.9521;12.6832;12.2774;9.0186;7.5715;5.2425;10.231;1.5726;7.7498;LumA
TCGA-A1-A0SF-01;0.8928;6.5801;14.1237;10.6065;13.1892;6.6495;10.5203;10.3385;10.2484;10.23;7.9046;0.0;8.7548;2.1464;9.6812;9.3633;2.6184;1.4402;12.8063;3.8786;10.2098;0.8928;11.6759;6.4376;8.3757;6.0563;8.7901;12.5349;8.2795;10.5408;7.533;2.8926;12.6395;7.1317;7.3058;10.4901;7.2653;5.1751;0.5144;2.7157;4.514;11.5537;13.8495;7.1095;4.6184;10.4611;9.432;4.1463;0.8928;8.8583;LumA
TCGA-A1-A0SG-01;0.0;1.8156;14.2148;9.0267;12.3048;7.0875;1.0566;10.1471;8.3475;7.8294;5.6634;0.4436;7.0009;5.3434;9.158;1.8156;5.7334;6.4673;10.2501;9.3097;11.8617;0.0;11.1679;3.8758;15.3485;7.9768;0.7824;9.6965;3.8758;4.3277;5.9672;5.0303;9.9129;9.0016;5.278;10.7455;8.4695;6.6229;10.5843;0.0;4.1342;10.5536;13.1957;6.3764;3.3219;7.9435;5.251;12.3565;4.5656;7.1763;LumA
TCGA-A1-A0SH-01;0.0;3.6913;17.1161;15.5172;9.8676;9.6917;8.1795;7.9117;1.2896;1.8189;1.2896;0.4449;5.6983;2.4152;7.8855;1.8189;3.0397;0.0;9.7985;8.8811;0.7843;3.2182;11.5752;8.5444;11.5047;6.8334;0.7843;11.6219;8.3742;9.0618;9.8837;5.2139;11.3793;3.8801;0.0;7.7075;0.0;4.5027;9.3362;4.9863;0.0;8.3328;11.5896;7.0882;5.6368;7.8039;6.3039;3.9492;2.5984;9.0062;LumA
TCGA-A1-A0SI-01;11.8279;6.9578;10.0564;5.5244;4.2665;14.8774;0.913;10.6559;6.9815;6.9475;11.3677;0.0;8.0641;3.1612;10.884;1.3054;12.6844;4.4718;9.1372;10.7402;1.3054;7.9825;11.251;3.2079;5.6733;1.1225;9.7542;9.2299;6.1386;5.7463;8.5189;11.5649;8.9796;1.3054;4.2665;9.5058;2.1958;12.1296;9.7992;6.7288;1.1225;5.9246;7.8191;10.1257;7.724;10.2988;13.015;8.1048;1.1225;3.9467;LumB
TCGA-A1-A0SJ-01;3.7481;4.3753;9.6581;5.327;12.1095;11.6443;10.5173;5.1149;11.9753;11.9114;9.3834;4.1261;8.6309;16.1732;9.6103;4.7337;2.7767;6.791;7.7284;1.0686;0.0;4.9876;8.2901;2.3288;16.1895;2.6138;3.8973;11.8207;6.5921;6.6352;8.6521;8.5725;12.3225;11.6484;9.2389;4.0324;3.0225;9.8596;3.9323;3.7869;10.1245;7.3459;10.0774;6.0227;2.3288;9.114;6.8833;10.0901;0.4497;9.4177;LumA
TCGA-A1-A0SK-01;1.5316;2.9295;2.9295;6.1994;1.1767;7.1707;3.7662;0.0;0.7051;0.7051;2.1592;0.7051;0.7051;3.0983;0.0;8.2959;3.2007;3.4705;0.0;0.0;9.0588;2.0537;14.0247;8.3045;9.287;2.6685;0.3953;4.9066;11.782;6.26;8.9099;3.6623;10.8291;13.4107;0.3953;0.7051;4.5582;9.4992;0.7051;2.6685;1.365;0.7051;12.3577;0.7051;8.6809;10.8185;8.1223;11.418;4.0937;6.9822;Basal
TCGA-A1-A0SN-01;1.3805;1.9585;16.1388;13.2145;11.1658;4.4493;1.1909;6.5448;4.7013;4.2929;4.8043;10.2909;7.8753;0.9725;8.9397;1.6982;7.4418;0.7149;11.4908;0.9725;0.7149;7.2177;2.9514;0.4013;3.2232;1.6982;9.4932;8.8473;5.7782;4.2203;8.2315;12.3087;9.6965;2.0729;1.8342;4.837;12.733;11.9069;7.7648;2.1788;0.0;4.5711;10.8891;6.6637;3.8227;8.6472;14.2577;11.2067;8.5029;7.4041;LumB
