CPB1 SCGB2A2 0.9475950920139504
PIP ADIPOQ 0.9574073825725902
PIP COL2A1 0.9594462916674458
PIP KRT6B 0.9217169309210016
PIP FABP4 0.9433558866183662
PIP PGR 0.9377300652243458
PIP AQP5 0.9227862442589962
PIP NLRP2 0.9113686569115942
PIP SAA2 0.9124513023931472
ADIPOQ COL2A1 0.9396402888096356
ADIPOQ KRT6B 0.9319687642155176
ADIPOQ FABP4 0.9181444136724264
ADIPOQ PGR 0.9121910874189448
ADIPOQ NLRP2 0.900333894496667
ADIPOQ SAA2 0.9016214500035532
ADIPOQ SOSTDC1 0.9068136951334806
HMGCS2 MS4A15 0.9243195750965972
CEACAM5 DSG3 0.9021765476271344
COL2A1 FABP7 0.9082471359400462
COL2A1 KRT6B 0.9262722844364414
COL2A1 FABP4 0.9638389832545974
COL2A1 PGR 0.9545722025583526
COL2A1 AQP5 0.9469141100092878
COL2A1 NLRP2 0.941320260662144
COL2A1 BEX1 0.9198584993025763
COL2A1 SAA2 0.9376254209656713
COL2A1 GPR98 0.9005858384362855
COL2A1 CR2 0.9301664347635208
COL2A1 TNFSF12-TNFSF13 0.9001416556752748
FABP7 FABP4 0.9239940766830876
FABP7 PGR 0.9026171717745088
FABP7 AQP5 0.9085133063145504
FABP7 SAA2 0.9005726417282842
FABP7 GPR98 0.915013418800855
FABP7 CR2 0.9091302024477969
FABP7 SBSN 0.9171132290569676
KRT6B FABP4 0.9117567779831144
KRT6B SAA2 0.9099047745258104
FABP4 PGR 0.9441537093366122
FABP4 AQP5 0.9515609272586582
FABP4 NLRP2 0.9543448194873396
FABP4 BEX1 0.9118879641974574
FABP4 SAA2 0.9476078531403778
FABP4 CHRDL1 0.9058498344124558
FABP4 GPR98 0.9190704592029983
FABP4 CR2 0.9393902859130608
FABP4 TNFSF12-TNFSF13 0.9088228159904744
FABP4 HIF3A 0.9078409328597472
CEACAM6 SLC5A8 0.9081383892290278
CEACAM6 KRT81 0.9188921397533506
PGR AQP5 0.9383220346040736
PGR NLRP2 0.9219789334823664
PGR BEX1 0.9285467446928196
PGR SAA2 0.9432581279947718
PGR GPR98 0.9051316323265288
PGR CR2 0.9256664695277308
PGR TNFSF12-TNFSF13 0.9037613466043576
AQP5 NLRP2 0.9356655388325004
AQP5 BEX1 0.920006489520934
AQP5 SAA2 0.941161085378708
AQP5 GPR98 0.9116811841262682
AQP5 CR2 0.933666670126576
AQP5 TNFSF12-TNFSF13 0.9043372366109984
SLC5A8 KRT81 0.9121343825609236
NLRP2 SAA2 0.9334913901049214
NLRP2 GPR98 0.9082690762564996
NLRP2 CR2 0.9373217633177712
NLRP2 TNFSF12-TNFSF13 0.9166521251603884
NLRP2 HIF3A 0.9009023204908964
BEX1 SAA2 0.9102935051893812
BEX1 CR2 0.9108620232822844
ESR1 MAGEA3 0.918022868307634
DSC3 SOSTDC1 0.9040911152998036
IGSF1 EDN3 0.938102662811778
GLRA3 SLC19A3 0.9331905627813868
GLRA3 TIMD4 0.9170884911089874
SPAG6 CAPN8 0.948407959910914
SAA2 SOSTDC1 0.9005169602173198
SAA2 GPR98 0.9206202904453886
SAA2 CR2 0.9394893339949916
SAA2 TNFSF12-TNFSF13 0.9175936647672348
SAA2 HIF3A 0.9089699411931524
AQP7 ERBB4 0.9688477122353452
SOSTDC1 TNFSF12-TNFSF13 0.9009560242430834
KLK8 SERPINA5 0.9301334765595508
SLC19A3 TIMD4 0.9070089623455382
WFDC2 TTYH1 0.9672990949394068
TRPA1 PCDHA11 0.9252258893055718
WDR72 ADAMTS16 0.946593444177236
KRT13 CHIT1 0.9131080873666028
GPR98 CR2 0.939754443512567
GPR98 SBSN 0.927167654090594
GPR98 ABCC12 0.9089547092351706
GPR98 HIF3A 0.92102860727687
GPR98 TNNI3 0.9007612572611522
MRAP RET 0.9063791618600908
CR2 SBSN 0.910287468007278
CR2 ABCC12 0.9095245348646978
CR2 TNFSF12-TNFSF13 0.9074741845992654
CR2 HIF3A 0.9265514681860714
CR2 TNNI3 0.9030631161616368
ART3 REEP1 0.9067268908058824
ADH1C CYP4F3 0.91247392046752
SBSN ABCC12 0.9067482467101206
SBSN HIF3A 0.9192981651069092
SBSN TNNI3 0.903212068561174
ABCC12 TNFSF12-TNFSF13 0.916236780827696
ABCC12 HIF3A 0.9113902720221108
TNFSF12-TNFSF13 HIF3A 0.902467010976968
ADAMTS19 GJB3 0.9333210962074582
ADAMTS19 KCNK3 0.90444051889636
ADAMTS19 FAM196B 0.9338883066944476
ADAMTS19 PRSS16 0.9063473997973844
ADAMTS19 SYT12 0.9037347875006394
CCL14 KCNK3 0.9007695107611988
