MCM10,THSD4
8.721,13.315
6.7933,13.5389
6.8713,11.6716
8.76,12.0999
6.6938,12.6983
7.9864,11.6881
7.0253,11.7394
6.6573,12.9087
7.5248,12.9791
6.0856,13.3417
7.3419,11.1926
7.0821,9.5904
9.1201,11.8826
7.3185,13.8245
5.5002,12.6345
7.6938,13.5817
6.9111,12.0314
5.8372,13.6063
7.7806,10.0743
8.4666,12.6392
8.3992,12.6896
9.6414,8.5202
6.2386,13.0332
7.5491,12.9952
6.5206,10.1277
7.4827,12.7541
6.9126,11.9286
8.2117,12.3186
7.7986,10.7018
8.2238,10.7448
7.4182,11.0521
6.3389,12.4517
8.7885,13.2131
8.3059,13.3296
6.2892,11.4246
8.4586,12.3563
7.2211,11.8439
7.5218,12.6972
8.1489,13.0386
9.0262,12.3416
6.5899,13.9324
6.7416,11.6228
8.3044,11.1222
6.0224,11.9578
7.323,11.6993
6.8806,10.2444
7.3066,12.1105
7.46,10.2938
5.7691,11.8682
7.2398,11.413
8.0588,12.7121
6.0805,11.8563
6.8634,12.4587
5.6565,12.5119
7.2614,12.3665
6.3025,12.0046
8.5525,12.6083
6.1005,12.2231
6.8806,12.4817
8.8214,10.9655
5.8123,10.9125
8.1017,12.5286
8.556,13.0753
8.4888,10.9727
8.2838,11.5257
7.3636,12.6067
7.68,12.3367
7.4931,11.618
7.7865,13.9333
7.1387,11.7977
7.3905,11.0871
7.6874,10.3959
5.3608,11.6321
8.5933,12.8124
6.6344,12.6879
7.2416,12.5345
6.451,11.4056
8.5765,10.7942
6.0989,12.1032
7.9317,13.0648
9.6718,11.3359
8.3688,12.6245
6.0403,13.218
4.9703,11.328
7.4342,12.4269
7.9907,11.8558
8.2123,12.0768
8.5297,11.2063
7.7613,11.0373
10.4781,11.5712
8.5223,10.8331
5.5241,12.6219
7.2272,11.5662
7.3125,12.191
7.9688,10.6871
8.4686,11.2837
6.0108,12.187
8.6419,11.2801
6.6046,11.0319
4.9936,10.4956
4.9591,11.1102
7.1469,12.0119
6.4333,12.4412
4.9297,11.2051
7.4154,12.7828
6.1539,11.3782
6.155,14.0404
7.0335,12.1801
7.6956,11.9446
9.1825,10.981
3.8298,10.9877
7.2463,12.2393
5.5704,12.0119
6.8455,11.2949
6.8019,12.3439
5.2063,10.7564
9.2252,13.2942
8.2809,12.7564
8.0088,12.2306
8.5009,12.607
8.0457,11.551
5.6317,13.2296
6.4416,12.4028
8.2642,9.5484
8.2069,12.5858
3.3579,11.627
6.9692,12.2256
6.3931,13.072
7.7994,12.8132
7.7923,11.8391
8.7262,12.3071
7.7829,12.6605
5.6145,11.0599
7.5507,13.2529
7.9909,11.9206
7.5149,12.5971
7.0704,12.62
7.3488,11.8045
7.5649,12.014
8.1317,10.8957
6.6923,11.0841
7.8306,12.1613
8.3142,10.8265
6.8566,12.4787
8.7261,11.1496
7.7137,11.2195
6.9925,12.3042
7.5539,13.5105
7.036,13.1135
7.592,10.2861
7.4321,13.5071
5.7796,11.3343
8.8319,10.9704
6.841,13.0366
8.1713,12.5171
7.9808,12.8996
7.2429,12.9433
5.8234,12.9906
7.4403,11.4354
6.3047,11.4901
8.1907,11.8215
7.7901,11.5575
7.8925,12.1158
7.3869,12.2765
5.649,13.7828
7.0263,10.9219
6.5591,12.5111
8.0411,12.081
7.6151,13.0248
8.7018,9.1381
6.3383,11.9652
7.5345,13.0413
7.2062,12.8838
7.8832,12.8532
8.6995,12.4055
8.4915,12.4224
6.9021,10.9356
7.879,10.7985
6.475,12.7167
5.8114,13.3235
7.9225,11.8365
8.1563,11.7267
6.2379,10.4947
6.3363,13.4564
8.999,13.3777
5.3684,10.6735
8.7088,12.4625
5.1147,11.8863
7.7048,13.8703
7.8912,11.3378
8.0005,12.894
6.3195,12.4375
8.7516,11.6183
7.1179,10.3169
5.9857,11.8778
6.5566,11.2556
4.4276,11.4685
5.6111,10.7437
8.4021,11.5964
8.1683,12.6132
6.0101,11.4724
8.0164,12.3055
6.4486,12.0616
8.6037,11.8738
7.4658,11.2247
5.2283,10.6854
7.03,13.7162
7.1245,14.2992
5.6326,12.4929
5.3835,13.2015
8.267,11.513
7.0046,10.8359
7.6766,10.9725
8.3793,11.5248
5.6881,11.7509
7.8613,10.8395
6.4225,10.9938
6.5559,12.6835
8.0667,12.3401
8.5018,12.5995
6.505,13.4587
4.6378,13.2993
6.765,10.8442
7.7752,11.9366
7.1708,10.5695
5.7908,11.3968
6.4022,12.6421
7.9434,12.8465
7.8409,12.7228
7.8689,12.7597
7.7041,11.0928
5.2016,12.742
7.0325,11.6085
8.1396,12.3061
8.0298,11.1489
6.1147,12.2591
8.0581,12.5738
7.8699,11.0958
7.495,12.1613
7.6451,11.583
8.1005,12.1345
6.8413,12.2339
3.693,11.1454
5.7828,11.7471
6.2758,11.4277
5.391,11.1528
6.3763,10.5322
7.0188,12.8406
5.9714,12.4654
5.8995,13.6128
7.1161,11.9749
5.2521,11.3582
7.0597,11.2594
7.6783,11.2578
7.0113,12.2539
5.4255,12.4203
8.5509,11.1011
5.9284,12.4007
8.1443,11.5055
7.6139,12.2325
6.3224,10.038
5.4463,10.5408
6.7112,12.2861
5.948,12.0862
6.1681,11.9904
7.7125,10.8776
6.5526,11.1938
6.905,11.7835
